Area,Year,Median Household Income,Median Household Income 2015 Adjusted
Arlington,1980,20598,67706
Arlington,1990,43309,83348
Arlington,2000,64344,92166
Arlington,2010,82771,92069
Arlington,2020,101972,101972
Belmont,1980,23134,76042
Belmont,1990,53488,102938
Belmont,2000,80295,115015
Belmont,2010,95197,105891
Belmont,2020,121208,121208
Brookline,1980,19536,64215
Brookline,1990,45598,87753
Brookline,2000,66711,95557
Brookline,2010,95448,106171
Brookline,2020,119756,119756
Cambridge,1980,14211,46712
Cambridge,1990,33140,63778
Cambridge,2000,47979,68725
Cambridge,2010,64865,72152
Cambridge,2020,80523,80523
Medford,1980,18266,60041
Medford,1990,38859,74784
Medford,2000,52476,75167
Medford,2010,70102,77977
Medford,2020,82951,82951
Melrose,1980,21141,69491
Melrose,1990,44109,84888
Melrose,2000,62811,89971
Melrose,2010,82482,91748
Melrose,2020,96307,96307
Milton,1980,24777,81443
Milton,1990,53130,102249
Milton,2000,78985,113138
Milton,2010,97421,108365
Milton,2020,119243,119243
Needham,1980,29062,95528
Needham,1990,60357,116157
Needham,2000,88079,126164
Needham,2010,114365,127213
Needham,2020,150571,150571
Somerville,1980,14001,46022
Somerville,1990,32455,62460
Somerville,2000,46315,66342
Somerville,2010,61731,68666
Somerville,2020,75583,75583
Watertown,1980,19129,62877
Watertown,1990,43490,83697
Watertown,2000,59764,85606
Watertown,2010,74081,82403
Watertown,2020,86108,86108
ICC,1980,18614.38095,61185.9317
ICC,1990,39992.90476,76966.34521
ICC,2000,55900.04762,80071.2819
ICC,2010,71480,79510.03435
ICC,2020,87186.17476,87186.17476
Stoneham,1980,21221,69754
Stoneham,1990,43343,83414
Stoneham,2000,56605,81081
Stoneham,2010,76574,85176
Stoneham,2020,86214,86214
Reading,1980,25796,84792.09157
Reading,1990,52783,101580.8835
Reading,2000,77059,110379.3856
Reading,2010,99130,110266.2242
Reading,2020,116785,116785
Winchester,1980,29246,96132.32711
Winchester,1990,65994,127005.453
Winchester,2000,94049,134715.8779
Winchester,2010,121572,135229.3494
Winchester,2020,160279,160279
Lexington,1980,31477,103465.6794
Lexington,1990,67389,129690.1305
Lexington,2000,96825,138692.223
Lexington,2010,130637,145312.7079
Lexington,2020,155740,155740
